time_ms,sent,received,retransmissions,avg_rtt_ms,snapshots_received,client_idx
1765575868976,1,0,0,0,0,4
1765575869977,11,51,1,10,40,4
1765575870978,30,149,1,6,118,4
1765575871979,50,249,1,6,198,4
1765575872979,70,337,1,12,267,4
1765575873985,90,419,1,24,330,4
1765575874987,110,482,1,43,373,4
1765575875987,130,569,1,48,439,4
1765575876988,150,672,1,47,521,4
1765575877988,170,771,1,43,600,4
1765575878990,190,827,1,56,637,4
1765575879990,210,921,1,57,711,4
1765575880991,230,1025,1,53,794,4
1765575881991,250,1123,1,50,873,4
1765575882993,270,1223,1,47,953,4
1765575883996,289,1320,1,45,1030,4
1765575884997,309,1421,1,43,1111,4
1765575885997,329,1494,1,47,1165,4
1765575886998,349,1556,1,47,1215,4
1765575888000,369,1646,1,55,1276,4
1765575889001,389,1746,1,53,1356,4
1765575890001,409,1845,1,51,1435,4
1765575891001,429,1945,1,49,1515,4
1765575892002,449,2045,1,48,1595,4
1765575893008,469,2119,1,50,1649,4
1765575894009,489,2217,1,48,1728,4
1765575895015,509,2319,1,46,1809,4
1765575896016,529,2419,1,45,1889,4
1765575897017,549,2515,1,43,1966,4
1765575898062,568,2591,1,44,2022,4
