time_ms,sent,received,retransmissions,avg_rtt_ms,snapshots_received,client_idx
1765558330086,1,0,0,0,0,2
1765558331087,17,34,0,203,21,2
1765558335022,36,93,3,373,59,2
1765558336023,56,143,3,305,86,2
1765558337023,76,192,3,276,116,2
1765558338024,96,237,3,260,141,2
1765558339026,116,289,3,249,173,2
1765558340027,136,336,3,242,200,2
1765558341029,156,386,3,237,230,2
1765558342030,176,434,3,232,258,2
1765558343032,196,482,3,229,286,2
1765558344033,216,530,3,226,314,2
1765558345035,236,577,3,224,342,2
1765558346035,256,628,3,222,372,2
1765558347036,276,676,3,221,401,2
1765558348037,295,726,3,219,430,2
1765558349038,315,772,3,218,457,2
1765558350039,335,822,3,217,487,2
1765558351039,355,870,3,216,515,2
1765558352041,375,918,3,216,543,2
1765558353042,395,964,3,215,569,2
1765558354043,415,1012,3,214,597,2
1765558355044,435,1061,3,213,626,2
1765558356045,455,1109,3,213,654,2
1765558357046,475,1156,3,212,681,2
1765558358047,495,1204,3,212,709,2
1765558359048,515,1255,3,211,740,2
1765558360049,515,1266,3,211,747,2
