time_ms,sent,received,retransmissions,avg_rtt_ms,snapshots_received,client_idx
1765575946684,1,4,0,0,2,2
1765575947687,21,58,3,20,42,2
1765575948688,40,135,4,37,95,2
1765575949689,60,204,6,26,144,2
1765575950689,80,272,8,21,192,2
1765575951694,100,322,11,36,221,2
1765575952694,120,387,11,31,268,2
1765575953695,140,447,13,28,307,2
1765575954699,160,510,13,26,350,2
1765575955700,180,567,14,24,388,2
1765575956701,200,630,16,21,429,2
1765575957702,220,696,17,20,477,2
1765575958703,240,758,20,19,518,2
1765575959704,260,814,25,18,554,2
1765575960705,279,877,26,17,597,2
1765575961706,299,937,27,16,637,2
1765575962707,319,1012,28,15,694,2
1765575963707,339,1076,32,15,744,2
1765575964723,359,1138,34,18,782,2
1765575965731,379,1206,38,18,826,2
1765575966731,399,1280,39,17,880,2
1765575967732,419,1329,39,17,909,2
1765575968734,439,1394,39,16,956,2
1765575969734,459,1472,43,16,1013,2
1765575970735,479,1522,45,15,1042,2
1765575971736,499,1579,46,15,1080,2
1765575972737,519,1642,48,14,1124,2
1765575973737,539,1706,52,14,1170,2
1765575974738,558,1790,56,14,1233,2
1765575975738,577,1848,58,13,1271,2
